Alabama 	United States 	AL 	Ala. 	Ala. 	State 	Montgomery 	131,442 	4,332 	135,775
North Dakota 	United States 	ND 	N.D. 	N. Dak. 	State 	Bismarck 	178,694 	4,428 	183,122
Northern Mariana Islands 	United States 	MP 	(UNK) 	(UNK) 	Commonwealth 	(Unknown) 			
Ohio 	United States 	OH 	Oh. 	O. 	State 	Columbus 	106,067 	10,036 	116,103
Oklahoma 	United States 	OK 	Okla. 	Okla. 	State 	Oklahoma City 	177,877 	3,171 	181,048
Oregon 	United States 	OR 	Ore. 	Ore. 	State 	Salem 	248,646 	6,172 	254,818
Palmyra Atoll 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Pennsylvania 	United States 	PA 	Pa. 	Penna. 	State 	Harrisburg 	116,082 	3,208 	119,290
Puerto Rico 	United States 	PR 	P.R. 	P.R. 	Commonwealth 	San Juan 			
Rhode Island 	United States 	RI 	R.I. 	R.I. 	State 	Providence 	2,706 	1,295 	4,002
South Carolina 	United States 	SC 	S.C. 	S.C. 	State 	Columbia 	77,987 	4,911 	82,898
South Dakota 	United States 	SD 	S.D. 	S. Dak. 	State 	Pierre 	196,574 	3,169 	199,744
Tennessee 	United States 	TN 	Tenn. 	Tenn. 	State 	Nashville 	106,758 	2,400 	109,158
Texas 	United States 	TX 	Tex. 	Tex. 	State 	Austin 	678,355 	17,318 	695,673
Utah 	United States 	UT 	Ut. 	Utah 	State 	Salt Lake City 	212,815 	7,086 	219,901
Vermont 	United States 	VT 	Vt. 	Vt. 	State 	Montpelier 	23,956 	947 	24,903
Virgin Islands 	United States 	VI 	V.I. 	V.I. 	Territory 	Charlotte Amalie, St. Thomas 			
Virginia 	United States 	VA 	Va. 	Va. 	State 	Richmond 	102,558 	8,213 	110,771
Wake Island 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Washington 	United States 	WA 	Wash. 	Wash. 	State 	Olympia 	172,446 	12,227 	184,673
West Virginia 	United States 	WV 	W. Va. 	W. Va. 	State 	Charleston 	62,384 	375 	62,759
Wisconsin 	United States 	WI 	Wis. 	Wis. 	State 	Madison 	140,672 	28,981 	169,653
Wyoming 	United States 	WY 	Wy. 	Wyo. 	State 	Cheyenne 	251,500 	1,848 	253,348
(All Values) 	Palau 	PW 	(UNK) 	(UNK) 	(Not Applicable) 	(Unknown) 			
(All Values) 	Micronesia, Federated States of 	FM 	(UNK) 	(UNK) 	(Not Applicable) 	(Unknown) 			
Aguascalientes 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Aguascalientes 			
Baja California 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Mexicali 			
Baja California Sur 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	La Paz 			
Campeche 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Campeche 			
Chiapas 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Tuxtla Gutiérrez 			
Chihuahua 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Chihuahua 			
Coahuila de Zaragoza 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Saltillo 			
Colima 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Colimo 			
Distrito Federal 	Mexico 	(UNK) 	(UNK) 	(UNK) 	Federal District 	Mexico City 			
Durango 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Durango 			
Guanajuato 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Guanajuato 			
Guerrero 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Chilpancingo 			
Hidalgo 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Pachuca 			
Jalisco 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Guadalajara 			
Mexico 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Toluca 			
Michoacan de Ocampo 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Morelia 			
Morelos 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Cuernavaca 			
Nayarit 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Tepic 			
Nuevo Leon 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Monterrey 			
Oaxaca 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Oaxaca 			
Puebla 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Puebla 			
Queretaro de Arteaga 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Querétaro 			
Quintana Roo 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Chetumal 			
San Luis Potosí 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	San Luis Potosí 			
Sinaloa 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Culiacán 			
Sonora 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Hermosillo 			
Tabasco 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Villahermosa 			
Tamaulipas 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Ciudad Victoria 			
Tlaxcala 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Tlaxcala 			
Veracruz-Llave 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Jalapa Enríquez 			
Yucatan 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Mérida 			
Zacatecas 	Mexico 	(UNK) 	(UNK) 	(UNK) 	State 	Zacatecas 			
(All Values) 	Marshall Islands 	MH 	(UNK) 	(UNK) 	(Not Applicable) 	(Unknown) 			
Alberta 	Canada 	AB 	(UNK) 	(UNK) 	Province 	Edmonton 			
British Columbia 	Canada 	BC 	(UNK) 	(UNK) 	Province 	Victoria 			
Manitoba 	Canada 	MB 	(UNK) 	(UNK) 	Province 	Winnipeg 			
New Brunswick 	Canada 	NB 	(UNK) 	(UNK) 	Province 	Fredericton 			
Newfoundland 	Canada 	NF 	(UNK) 	(UNK) 	Province 	St. John's 			
Northwest Territories 	Canada 	NT 	(UNK) 	(UNK) 	Territory 	Yellowknife 			
Nova Scotia 	Canada 	NS 	(UNK) 	(UNK) 	Province 	Halifax 			
Nunavut 	Canada 	(UNK) 	(UNK) 	(UNK) 	(Unknown) 	(Unknown) 			
Ontario 	Canada 	ON 	(UNK) 	(UNK) 	Province 	Toronto 			
Prince Edward Island 	Canada 	PE 	(UNK) 	(UNK) 	Province 	Charlottetown 			
Quebec 	Canada 	PQ 	(UNK) 	(UNK) 	Province 	Quebec 			
Saskatchewan 	Canada 	SK 	(UNK) 	(UNK) 	Province 	Regina 			
Yukon Territory 	Canada 	YT 	(UNK) 	(UNK) 	Territory 	Whitehorse
